71,96,112
70,95,111
69,95,111
68,93,109
58,84,99
50,71,89
44,65,83
40,62,80
32,56,74
27,51,70
20,43,62
17,40,60
17,39,60
14,37,57
15,37,56
166,156,145
196,179,164
178,165,154
148,139,132
153,142,136
167,157,141
151,142,129
141,135,126
234,219,195
247,234,208
240,227,200
215,197,172
113,124,123
161,173,160
191,174,157
176,157,140
185,169,156
75,103,120
74,101,121
76,105,123
79,107,126
80,109,128
83,113,131
85,115,133
85,117,136
88,120,139
92,124,143
94,126,145
96,129,146
98,130,148
68,94,110
68,95,110
63,90,105
63,89,105
56,81,96
44,66,82
37,59,77
34,56,74
29,52,70
25,48,66
16,39,59
16,37,58
14,35,56
12,34,54
46,52,65
95,97,102
144,135,134
126,121,121
97,94,97
152,142,134
163,153,142
174,162,149
179,167,154
225,208,187
244,231,205
250,237,209
226,204,175
43,44,38
134,155,158
199,181,159
182,162,144
197,173,156
75,99,116
69,96,115
71,98,117
72,100,121
74,104,122
76,104,124
76,105,125
79,110,128
79,109,128
79,109,127
86,115,134
86,116,136
84,115,132
64,91,106
